"temp","pressure","humidity","visibility","wind_speed","clouds","ts","count"
23.76,1015.0,50.0,10000.0,6.0,75.0,2018-08-20 13:00:00,3
24.51,1015.0,47.0,10000.0,8.0,75.0,2018-08-20 14:00:00,1
23.76,1015.0,50.0,10000.0,7.0,75.0,2018-08-20 15:00:00,1
24.01,1015.0,50.0,10000.0,6.0,75.0,2018-08-20 16:00:00,2
23.26,1014.0,56.0,10000.0,5.0,75.0,2018-08-20 17:00:00,4
22.51,1014.0,64.0,10000.0,4.0,75.0,2018-08-20 18:00:00,3
22.01,1014.0,68.0,10000.0,3.0,75.0,2018-08-20 19:00:00,2
20.76,1014.0,73.0,10000.0,3.0,75.0,2018-08-20 20:00:00,0
19.76,1014.0,77.0,10000.0,3.0,75.0,2018-08-20 21:00:00,1
19.5,1013.0,72.0,10000.0,2.0,75.0,2018-08-20 22:00:00,4
19.01,1013.0,77.0,10000.0,2.0,0.0,2018-08-20 23:00:00,0
18.26,1012.0,93.0,10000.0,1.0,0.0,2018-08-21 00:00:00,0
17.49,1012.0,77.0,10000.0,4.0,0.0,2018-08-21 01:00:00,0
17.0,1011.0,88.0,10000.0,3.0,0.0,2018-08-21 02:00:00,0
16.67,1011.0,88.0,10000.0,3.0,0.0,2018-08-21 03:00:00,0
16.33,1010.0,88.0,10000.0,3.0,0.0,2018-08-21 04:00:00,0
15.98,1009.0,88.0,10000.0,4.0,0.0,2018-08-21 05:00:00,1
16.31,1008.0,82.0,10000.0,4.0,0.0,2018-08-21 06:00:00,0
16.31,1007.0,82.0,10000.0,6.0,40.0,2018-08-21 07:00:00,3
18.5,1008.0,88.0,10000.0,4.0,75.0,2018-08-21 08:00:00,4
19.01,1007.0,77.0,10000.0,4.0,75.0,2018-08-21 09:00:00,3
20.02,1005.0,78.0,10000.0,7.0,75.0,2018-08-21 16:00:00,1
17.26,1006.0,93.0,10000.0,4.0,75.0,2018-08-21 17:00:00,4
17.99,1006.0,88.0,10000.0,4.0,75.0,2018-08-21 18:00:00,2
17.99,1006.0,88.0,10000.0,3.0,75.0,2018-08-21 19:00:00,2
18.25,1007.0,88.0,10000.0,4.0,75.0,2018-08-21 20:00:00,0
16.5,1007.0,93.0,10000.0,2.0,40.0,2018-08-21 21:00:00,1
15.5,1008.0,93.0,10000.0,3.0,0.0,2018-08-21 22:00:00,0
14.26,1009.0,93.0,10000.0,2.0,0.0,2018-08-21 23:00:00,2
13.76,1009.0,76.0,10000.0,4.0,0.0,2018-08-22 00:00:00,0
13.34,1009.0,81.0,10000.0,5.0,0.0,2018-08-22 01:00:00,0
12.34,1010.0,76.0,10000.0,6.0,0.0,2018-08-22 02:00:00,0
11.02,1010.0,81.0,10000.0,5.0,0.0,2018-08-22 03:00:00,0
10.34,1010.0,87.0,10000.0,5.0,0.0,2018-08-22 04:00:00,0
10.0,1010.0,81.0,10000.0,6.0,0.0,2018-08-22 05:00:00,0
10.0,1011.0,87.0,10000.0,6.0,0.0,2018-08-22 06:00:00,0
9.75,1012.0,93.0,10000.0,3.0,0.0,2018-08-22 07:00:00,1
11.75,1013.0,81.0,10000.0,5.0,0.0,2018-08-22 08:00:00,2
12.25,1013.0,87.0,10000.0,6.0,20.0,2018-08-22 09:00:00,3
14.0,1013.0,71.0,10000.0,7.0,20.0,2018-08-22 10:00:00,3
15.75,1014.0,67.0,10000.0,8.0,20.0,2018-08-22 11:00:00,2
16.346,1007.95,75.0,0.0,5.86,20.0,2018-08-22 12:00:00,2
16.346,1007.95,75.0,0.0,5.86,20.0,2018-08-22 13:00:00,5
18.01,1015.0,51.0,10000.0,8.0,0.0,2018-08-22 14:00:00,0
18.0,1015.0,48.0,10000.0,8.0,0.0,2018-08-22 15:00:00,3
18.26,1016.0,45.0,10000.0,6.0,0.0,2018-08-22 16:00:00,0
18.75,1016.0,39.0,10000.0,9.0,0.0,2018-08-22 17:00:00,2
17.75,1017.0,45.0,10000.0,7.0,0.0,2018-08-22 18:00:00,3
