place,temp,pressure,humidity,visibility,wind_speed,clouds,ts,DayOfWeek,Hour,Day,Month,M-,A-,ул.,улица,ш.,шоссе,пр-т,проспект,other,Гос,улицы,шоссе,проспекты
M-10,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
"Волгоградской проспект, вл.1, стр.11 по ул. Шоссейная",17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,1,0,0,0,0,1,0,0,1,0,1
Дмитровское Ш. - Ул. Руставели ( по дмитровке в центр) (2) 4-3,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Каширское шоссе,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Мичуринский пр-т - ул. Никулинская,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,1,0,0,0,1,0,0,0,1,0,1
Площадь Серпуховская застава,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Сколковское шоссе,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
ТТК - Варшавское ш. 5-4 (2) (по ТТК на восток),17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,1,0,0,0,0,0,0,1,0
ТТК - Комсомольский пр-т 5-3 (2) (по Комсомольскому пр-ту в область),17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
улица Капотня,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,1,0,0,0,0,0,0,1,0,0
Ярославское шоссе,17.99,1001,82,10000,3,75,2019-07-08 09:00:00,2,9,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
M-2,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
"Волгоградской проспект, вл.1, стр.11 по ул. Шоссейная",19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,1,0,0,0,0,1,0,0,1,0,1
Волоколамское шоссе,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Кузьминский путепровод (в центр) (2) 4-3,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Мичуринский пр-т - ул. Никулинская,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,1,0,0,0,1,0,0,0,1,0,1
Новоегорьевское шоссе,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Площадь Серпуховская застава,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"Сущевский вал, д.24",19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Съезд 30В,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
ТТК - Бутырская ул. (по Бутырской в область) 6-4 (2),19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
"ТТК - Ленинградский пр-т   ( по беговой ул. ТТК на юго-запад) 6-5, 6-5 (2)",19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,1,0,0,0,1,0,0,0,1,0,1
ТТК - Ленинский пр-т 7-5 5-4 (3) (по Ленинскому в область),19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
Ярославское шоссе,19.01,1002,72,10000,4,75,2019-07-08 10:00:00,2,10,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
A-130,19.53,1002,68,10000,5,75,2019-07-08 11:00:00,2,11,8,7,0,1,0,0,0,0,0,0,0,1,0,0,0
M-10,19.53,1002,68,10000,5,75,2019-07-08 11:00:00,2,11,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
Озерная улица,19.53,1002,68,10000,5,75,2019-07-08 11:00:00,2,11,8,7,0,0,0,1,0,0,0,0,0,0,1,0,0
"ТТК (внутренняя сторона) Велозаводская ул., д.13",19.53,1002,68,10000,5,75,2019-07-08 11:00:00,2,11,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
ТТК - пр-т Мира (по ТТК на запад) 6-5 (2),19.53,1002,68,10000,5,75,2019-07-08 11:00:00,2,11,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
ТТК - Южнопортовая ул. (по ТТК внешняя сторона) 5-4 (2),19.53,1002,68,10000,5,75,2019-07-08 11:00:00,2,11,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
M-10,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
M-2,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
Волоколамское шоссе,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Дмитровское ш. - Станционная ул. (по Дмитровке в область) 6-4 (2),19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,1,0,1,0,0,0,0,0,1,1,0
"Каширское ш., д.64 (в область)",19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,1,0,0,0,0,0,0,1,0
Кузьминский путепровод (в центр) (2) 4-3,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Носовихинское шоссе,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Осташковское шоссе,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
"пр-т Андропова, д.25 - ул. Новинки",19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,1,0,0,0,1,0,0,0,1,0,1
"пр-т Андропова, д.36",19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
Съезд 30А,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Съезд 35А,19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"ТТК (внутренняя сторона) Велозаводская ул., д.13",19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
ТТК - Ленинский пр-т 7-5 5-4 (3) (по Ленинскому в область),19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
ТТК - Южнопортовая ул. (по ТТК внешняя сторона) 5-4 (2),19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
"Широкая ул., д.13а",19.07,1002,68,10000,6,75,2019-07-08 12:00:00,2,12,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
A-130,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,1,0,0,0,0,0,0,0,1,0,0,0
M-2,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
"Каширское - пр-т Андропова (съезд с каширки на Анропова, направление в центр) (2) 5-3",19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
Кузьминский путепровод (в центр) (2) 4-3,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"Маяковский тоннель (внешняя сторона, на запад) (2) 6-5",19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"Пр-т Мира, д.1-11   4-3",19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"Севастопольский пр-т, д.83, корп.2",19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
Съезд 30А,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Съезд 30В,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
ТТК - Нижегородская ул. (по ТТК восток внутреннний) 5-4 (2),19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0
ТТК - пр-т Мира (по ТТК на запад) 6-5 (2),19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,0,1,0,0,0,0,0,1
ТТК - ш. Энтузиастов 	5-4 (2) (по ТТК на Юг) 6-5 (2) (по ТТК на Север) 5-3 (2) (по шоссе Энтузиастов в центр),19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,1,1,0,0,0,0,0,1,0
улица Николая Старостина,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,1,0,0,0,0,0,0,1,0,0
Ярославское шоссе,19.98,1002,68,10000,6,75,2019-07-08 13:00:00,2,13,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
M-10,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
M-2,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
M-3,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
M-5,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0
Косинское шоссе,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Кузьминский путепровод (в центр) (2) 4-3,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Осташковское шоссе,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Проезд Карамзина,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Рублево-Успенское шоссе,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Рублевское шоссе,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,1,0,0,0,0,0,1,0
Рязанский проспект,19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,0,0,1,0,0,0,0,1
"Сущевский вал, д.24",19.81,1002,68,10000,3,75,2019-07-08 14:00:00,2,14,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0
