"place","temp","pressure","humidity","visibility","wind_speed","clouds","ts","dtp_uuid","ts-2","dtp_place"
"Ярославское шоссе","15.2","1027","93","10000","1.48","0","2019-09-09 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.16","1027","93","10000","1","0","2019-09-09 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.32","1027","87","10000","1","0","2019-09-09 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.99","1027","68","10000","2","0","2019-09-09 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.18","1027","52","10000","2","0","2019-09-09 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.4","1027","53","10000","1","0","2019-09-09 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.2","1027","49","10000","3","0","2019-09-09 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.2","1027","49","10000","2","0","2019-09-09 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.41","1028","43","10000","3","0","2019-09-09 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.51","1028","49","10000","3","0","2019-09-09 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.8","1028","49","10000","2","40","2019-09-09 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.04","1028","53","10000","2","0","2019-09-09 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.02","1028","64","10000","1","0","2019-09-09 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.98","1029","72","10000","1","0","2019-09-09 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.47","1029","87","10000","1","0","2019-09-09 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.22","1029","100","10000","1.25","0","2019-09-09 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","11.52","1029","100","2100","1","41","2019-09-09 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","11.16","1029","100","2000","0.91","41","2019-09-09 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","11.38","1029","100","10000","1","0","2019-09-09 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","12.23","1029","93","9000","1","78","2019-09-09 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13","1029","100","9000","1","78","2019-09-09 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","12.8","1029","100","10000","1.19","0","2019-09-09 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.18","1029","100","10000","1.58","0","2019-09-09 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.69","1028","100","10000","1.58","0","2019-09-09 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.21","1028","93","10000","1.58","0","2019-09-08 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.13","1028","93","10000","2.35","0","2019-09-08 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.17","1028","72","10000","3","0","2019-09-08 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.36","1028","72","10000","1","0","2019-09-08 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.4","1028","60","10000","1","0","2019-09-08 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.6","1028","49","10000","1","75","2019-09-08 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.4","1027","46","10000","1","75","2019-09-08 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.61","1028","53","10000","3","75","2019-09-08 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23","1028","49","10000","2","40","2019-09-08 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.19","1028","53","10000","2","40","2019-09-08 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.48","1028","56","10000","2","40","2019-09-08 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.69","1028","64","10000","2","40","2019-09-08 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20","1028","68","10000","3","0","2019-09-08 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.65","1028","72","10000","1","0","2019-09-08 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.8","1028","93","10000","2","0","2019-09-08 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.36","1028","100","8000","2.29","40","2019-09-08 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","12.18","1028","93","10000","2","0","2019-09-08 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","12.59","1027","87","10000","2","0","2019-09-08 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.41","1027","87","9000","1","13","2019-09-08 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.61","1027","93","10000","1","0","2019-09-08 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.41","1027","87","9000","1","51","2019-09-08 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.01","1027","87","10000","1","57","2019-09-08 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.25","1026","87","10000","1","0","2019-09-08 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.67","1026","82","10000","2.33","0","2019-09-08 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.98","1026","87","10000","2","0","2019-09-07 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.48","1026","87","10000","2","0","2019-09-07 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.66","1025","77","10000","3","0","2019-09-07 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19","1024","72","10000","3","0","2019-09-07 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.04","1024","60","10000","3","40","2019-09-07 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.41","1024","60","10000","4","40","2019-09-07 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22","1023","53","10000","4","40","2019-09-07 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.61","1023","49","10000","4","40","2019-09-07 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22","1023","60","10000","4","75","2019-09-07 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.47","1023","53","10000","4","75","2019-09-07 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.54","1023","49","10000","4","40","2019-09-07 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.42","1023","60","10000","3","40","2019-09-07 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.59","1023","64","10000","2","0","2019-09-07 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.65","1023","72","10000","1","0","2019-09-07 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.98","1022","87","10000","3","0","2019-09-07 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.04","1022","100","1200","2","75","2019-09-07 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.17","1022","100","1200","2","75","2019-09-07 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.52","1022","100","500","1.85","90","2019-09-07 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.85","1021","100","3000","1","0","2019-09-07 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.26","1021","100","450","1","90","2019-09-07 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.03","1021","100","5000","1.94","20","2019-09-07 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.19","1021","100","2400","1.87","0","2019-09-07 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.72","1020","100","10000","2","40","2019-09-07 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.71","1020","100","8000","3","40","2019-09-07 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.54","1019","100","8000","2","40","2019-09-06 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.87","1019","100","10000","2","40","2019-09-06 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.54","1019","88","10000","4","75","2019-09-06 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.98","1019","82","10000","5","75","2019-09-06 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.68","1018","82","10000","5","75","2019-09-06 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.61","1018","72","10000","5","75","2019-09-06 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.81","1017","60","10000","3","0","2019-09-06 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.92","1017","60","10000","4","0","2019-09-06 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.35","1017","60","10000","4","40","2019-09-06 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.37","1017","56","10000","2","0","2019-09-06 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.26","1017","60","10000","2","0","2019-09-06 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.67","1017","60","10000","1","0","2019-09-06 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.39","1017","60","10000","2.26","0","2019-09-06 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.02","1017","72","10000","1","0","2019-09-06 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.21","1017","82","10000","1","0","2019-09-06 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.94","1017","100","8000","1","1","2019-09-06 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.14","1017","100","6000","1","2","2019-09-06 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.66","1017","100","3200","1","2","2019-09-06 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.26","1017","100","4900","2","2","2019-09-06 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.44","1018","100","5000","2","26","2019-09-06 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.22","1018","100","3700","2","40","2019-09-06 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.36","1017","100","10000","2","0","2019-09-06 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.75","1017","100","10000","2","0","2019-09-06 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.53","1017","100","10000","2","0","2019-09-06 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.9","1017","100","10000","2","0","2019-09-05 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.29","1018","100","10000","1","0","2019-09-05 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.71","1018","93","10000","2","0","2019-09-05 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.29","1017","82","10000","3","0","2019-09-05 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.17","1017","88","10000","2","0","2019-09-05 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.59","1017","93","10000","2","0","2019-09-05 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.35","1017","82","10000","2","75","2019-09-05 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.91","1017","88","10000","2","75","2019-09-05 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.01","1017","88","10000","1","98","2019-09-05 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.7","1017","93","6000","1","90","2019-09-05 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.09","1017","100","7000","1","90","2019-09-05 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.08","1014","100","10000","2","0","2019-09-04 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.62","1014","68","10000","2","75","2019-09-04 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.91","1014","64","10000","2","0","2019-09-04 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20","1013","60","10000","3","0","2019-09-04 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.55","1013","53","10000","3","0","2019-09-04 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.08","1013","53","10000","3","0","2019-09-04 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.59","1013","56","10000","3","0","2019-09-04 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.2","1013","53","10000","3","0","2019-09-04 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.42","1013","49","10000","4","0","2019-09-04 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.64","1014","49","10000","4","0","2019-09-04 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.2","1014","49","10000","4","0","2019-09-04 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.39","1014","46","10000","4","0","2019-09-04 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.97","1014","49","10000","4","0","2019-09-04 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.56","1014","59","10000","3","0","2019-09-04 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.29","1014","63","10000","3","0","2019-09-04 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.03","1014","72","10000","2","0","2019-09-04 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.24","1014","63","10000","3","0","2019-09-04 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.42","1015","63","10000","3","0","2019-09-04 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.51","1015","63","10000","2","0","2019-09-04 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.51","1015","63","10000","3","0","2019-09-04 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.08","1015","77","10000","3","0","2019-09-04 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.33","1015","72","10000","3","0","2019-09-04 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.95","1016","72","10000","3","0","2019-09-04 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.2","1016","63","10000","3","0","2019-09-04 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.61","1016","68","10000","2","0","2019-09-03 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.36","1016","63","10000","3","0","2019-09-03 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.51","1016","64","10000","2","0","2019-09-03 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.9","1016","60","10000","2","0","2019-09-03 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22","1016","56","10000","3","0","2019-09-03 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23","1016","53","10000","2","0","2019-09-03 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.2","1016","49","10000","3","40","2019-09-03 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.2","1016","53","10000","3","40","2019-09-03 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23","1016","53","10000","3","40","2019-09-03 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","23.34","1017","53","10000","4","75","2019-09-03 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.45","1017","53","10000","3","40","2019-09-03 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","22.06","1017","56","10000","3","0","2019-09-03 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.04","1017","60","10000","4","0","2019-09-03 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.83","1017","68","10000","4","0","2019-09-03 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.59","1017","68","10000","3","0","2019-09-03 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.98","1017","100","10000","1","1","2019-09-03 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.43","1017","100","8000","2","0","2019-09-03 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.24","1017","100","6000","3","0","2019-09-03 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.63","1017","100","4800","2","0","2019-09-03 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.15","1017","100","6000","2","2","2019-09-03 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.78","1017","100","7000","2","2","2019-09-03 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.72","1017","93","9000","1","2","2019-09-03 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.16","1016","93","9000","2","0","2019-09-03 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.08","1016","88","10000","3","0","2019-09-03 00:00:00+03",NULL,NULL,NULL
